Timestamp,Log
2024-12-09 03:27:08,EDBrightnessTask
2024-12-09 03:27:08,OLEDDisplayTask
2024-12-09 03:27:08,Received arcValue: 50
2024-12-09 03:27:08,Receivets Jun  8 2016 00:22:57
2024-12-09 03:27:08,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
2024-12-09 03:27:08,"configsip: 0, SPIWP:0xee"
2024-12-09 03:27:08,"clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00"
2024-12-09 03:27:08,"mode:DIO, clock div:1"
2024-12-09 03:27:08,"load:0x3fff0030,len:1344"
2024-12-09 03:27:08,"load:0x40078000,len:13964"
2024-12-09 03:27:08,"load:0x40080400,len:3600"
2024-12-09 03:27:08,entry 0x400805f0
2024-12-09 03:27:08,Setup OLED
2024-12-09 03:27:11,Connecting to WiFi...
2024-12-09 03:27:11,Connected to WiFi
2024-12-09 03:27:12,OLEDDisplayTask
2024-12-09 03:27:12,ReadDHT11Task
2024-12-09 03:27:12,semaphoreButtonTask
2024-12-09 03:27:12,LEDBrightnessTask
2024-12-09 03:27:12,UDP Listening on IP: 192.168.137.99
2024-12-09 03:27:12,UDPListenerSendTask
2024-12-09 03:27:12,Calibrating please wait...LEDBrightnessTask
2024-12-09 03:27:12,OLEDDisplayTask
2024-12-09 03:27:12,.Received arcValue: 50
2024-12-09 03:27:12,Received valueButton7: 0
2024-12-09 03:27:12,Received valueButton8: 0
2024-12-09 03:27:12,deserializeJson() failed: InvalidInput
2024-12-09 03:27:12,.LEDBrightnessTask
2024-12-09 03:27:12,.OLEDDisplayTask
2024-12-09 03:27:12,..LEDBrightnessTask
2024-12-09 03:27:12,.OLEDDisplayTask
2024-12-09 03:27:12,.LEDBrightnessTask
2024-12-09 03:27:12,.Received arcValue: 50
2024-12-09 03:27:12,Received valueButton7: 0
2024-12-09 03:27:12,Received valueButton8: 0
2024-12-09 03:27:12,done!.
2024-12-09 03:27:12,Mq2Task
2024-12-09 03:27:12,OLEDDisplayTask
2024-12-09 03:27:12,MQ-2 Gas Concentration: 6.79 PPM
2024-12-09 03:27:12,LEDBrightnessTask
2024-12-09 03:27:12,Temperature: 33 °C	Humidity: 52 %
2024-12-09 03:27:12,OLEDDisplayTask
2024-12-09 03:27:12,LEDBrightnessTask
2024-12-09 03:27:12,OLEDDisplayTask
2024-12-09 03:27:12,LEDBrightnessTask
2024-12-09 03:27:12,OLEDDisplayTask
2024-12-09 03:27:12,LEDBrightnessTask
2024-12-09 03:27:13,LEDBrightnessTask
2024-12-09 03:27:13,OLEDDisplayTask
2024-12-09 03:27:13,LEDBrightnessTask
2024-12-09 03:27:13,OLEDDisplayTask
2024-12-09 03:27:13,Received arcValue: 50
2024-12-09 03:27:13,Received valueButton7: 0
2024-12-09 03:27:13,Received valueButton8: 0
2024-12-09 03:27:13,deserializeJson() failed: InvalidInput
2024-12-09 03:27:13,deserializeJson() failed: InvalidInput
2024-12-09 03:27:13,LEDBrightnessTask
2024-12-09 03:27:13,OLEDDisplayTask
2024-12-09 03:27:13,LEDBrightnessTask
2024-12-09 03:27:13,OLEDDisplayTask
2024-12-09 03:27:13,LEDBrightnessTask
2024-12-09 03:27:13,OLEDDisplayTask
2024-12-09 03:27:13,LEDBrightnessTask
2024-12-09 03:27:13,OLEDDisplayTask
2024-12-09 03:27:13,LEDBrightnessTask
2024-12-09 03:27:13,OLEDDisplayTask
2024-12-09 03:27:13,LEDBrightnessTask
2024-12-09 03:27:13,Received arcValue: 50
2024-12-09 03:27:13,Received valueButton7: 0
2024-12-09 03:27:13,Received valueButton8: 0
2024-12-09 03:27:13,deserializeJson() failed: InvalidInput
2024-12-09 03:27:13,OLEDDisplayTask
2024-12-09 03:27:13,LEDBrightnessTask
2024-12-09 03:27:13,OLEDDisplayTask
2024-12-09 03:27:13,LEDBrightnessTask
2024-12-09 03:27:14,OLEDDisplayTask
