Timestamp,Log
2024-12-07 15:53:20,ets Jun  8 2016 00:22:57
2024-12-07 15:53:20,"rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)"
2024-12-07 15:53:20,"configsip: 0, SPIWP:0xee"
2024-12-07 15:53:20,"clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00"
2024-12-07 15:53:20,"mode:DIO, clock div:1"
2024-12-07 15:53:20,"load:0x3fff0030,len:1344"
2024-12-07 15:53:20,"load:0x40078000,len:13964"
2024-12-07 15:53:20,"load:0x40080400,len:3600"
2024-12-07 15:53:20,entry 0x400805f0
2024-12-07 15:53:20,Setup OLED
2024-12-07 15:53:22,Connecting to WiFi...
2024-12-07 15:53:22,Connected to WiFi
2024-12-07 15:53:23,OLEDDisplayTask
2024-12-07 15:53:23,semaphoreButtonTask
2024-12-07 15:53:23,ReadDHT11Task
2024-12-07 15:53:23,Calibrating please wait...OLEDDisplayTask
2024-12-07 15:53:23,...OLEDDisplayTask
2024-12-07 15:53:24,...OLEDDisplayTask
2024-12-07 15:53:24,..  done!.
2024-12-07 15:53:24,Mq2Task
2024-12-07 15:53:24,OLEDDisplayTask
2024-12-07 15:53:24,MQ-2 Gas Concentration: 6.52 PPM
2024-12-07 15:53:24,Temperature: 39 °C	Humidity: 45 %
2024-12-07 15:53:24,OLEDDisplayTask
2024-12-07 15:53:24,OLEDDisplayTask
2024-12-07 15:53:24,OLEDDisplayTask
2024-12-07 15:53:24,OLEDDisplayTask
2024-12-07 15:53:24,OLEDDisplayTask
2024-12-07 15:53:24,OLEDDisplayTask
2024-12-07 15:53:24,OLEDDisplayTask
2024-12-07 15:53:25,OLEDDisplayTask
2024-12-07 15:53:25,OLEDDisplayTask
2024-12-07 15:53:25,OLEDDisplayTask
2024-12-07 15:53:25,OLEDDisplayTask
2024-12-07 15:53:25,OLEDDisplayTask
2024-12-07 15:53:25,OLEDDisplayTask
2024-12-07 15:53:25,OLEDDisplayTask
2024-12-07 15:53:25,OLEDDisplayTask
2024-12-07 15:53:25,OLEDDisplayTask
2024-12-07 15:53:26,OLEDDisplayTask
2024-12-07 15:53:26,Mq2Task
2024-12-07 15:53:26,OLEDDisplayTask
2024-12-07 15:53:26,MQ-2 Gas Concentration: 8.56 PPM
2024-12-07 15:53:26,ReadDHT11Task
2024-12-07 15:53:26,OLEDDisplayTask
2024-12-07 15:53:26,OLEDDisplayTask
2024-12-07 15:53:26,OLEDDisplayTask
2024-12-07 15:53:26,OLEDDisplayTask
2024-12-07 15:53:26,Temperature: 39 °C	Humidity: 45 %
2024-12-07 15:53:26,OLEDDisplayTask
2024-12-07 15:53:26,OLEDDisplayTask
2024-12-07 15:53:27,OLEDDisplayTask
2024-12-07 15:53:27,OLEDDisplayTask
2024-12-07 15:53:27,OLEDDisplayTask
2024-12-07 15:53:27,OLEDDisplayTask
2024-12-07 15:53:27,OLEDDisplayTask
2024-12-07 15:53:27,OLEDDisplayTask
2024-12-07 15:53:27,OLEDDisplayTask
2024-12-07 15:53:27,OLEDDisplayTask
2024-12-07 15:53:27,OLEDDisplayTask
2024-12-07 15:53:28,OLEDDisplayTask
2024-12-07 15:53:28,OLEDDisplayTask
2024-12-07 15:53:28,Mq2Task
2024-12-07 15:53:28,OLEDDisplayTask
2024-12-07 15:53:28,MQ-2 Gas Concentration: 8.71 PPM
2024-12-07 15:53:28,OLEDDisplayTask
2024-12-07 15:53:28,OLEDDisplayTask
2024-12-07 15:53:28,OLEDDisplayTask
2024-12-07 15:53:28,OLEDDisplayTask
2024-12-07 15:53:28,ReadDHT11Task
2024-12-07 15:53:28,OLEDDisplayTask
2024-12-07 15:53:28,OLEDDisplayTask
2024-12-07 15:53:29,OLEDDisplayTask
2024-12-07 15:53:29,OLEDDisplayTask
2024-12-07 15:53:29,OLEDDisplayTask
2024-12-07 15:53:29,Temperature: 39 °C	Humidity: 45 %
2024-12-07 15:53:29,OLEDDisplayTask
2024-12-07 15:53:29,OLEDDisplayTask
2024-12-07 15:53:29,OLEDDisplayTask
2024-12-07 15:53:29,OLEDDisplayTask
2024-12-07 15:53:29,OLEDDisplayTask
2024-12-07 15:53:29,OLEDDisplayTask
2024-12-07 15:53:30,OLEDDisplayTask
2024-12-07 15:53:30,OLEDDisplayTask
2024-12-07 15:53:30,Mq2Task
2024-12-07 15:53:30,OLEDDisplayTask
2024-12-07 15:53:30,MQ-2 Gas Concentration: 8.56 PPM
2024-12-07 15:53:30,OLEDDisplayTask
2024-12-07 15:53:30,OLEDDisplayTask
2024-12-07 15:53:30,OLEDDisplayTask
2024-12-07 15:53:30,OLEDDisplayTask
2024-12-07 15:53:30,OLEDDisplayTask
2024-12-07 15:53:30,OLEDDisplayTask
2024-12-07 15:53:31,OLEDDisplayTask
2024-12-07 15:53:31,OLEDDisplayTask
2024-12-07 15:53:31,ReadDHT11Task
2024-12-07 15:53:31,OLEDDisplayTask
2024-12-07 15:53:31,OLEDDisplayTask
2024-12-07 15:53:31,OLEDDisplayTask
2024-12-07 15:53:31,OLEDDisplayTask
2024-12-07 15:53:31,OLEDDisplayTask
2024-12-07 15:53:31,Button pressed 2 time(s) in 1 second
2024-12-07 15:53:31,semaphoreButtonTask
2024-12-07 15:53:31,Error 253 Reading from DHT11 timed out.
2024-12-07 15:53:31,OLEDDisplayTask
2024-12-07 15:53:31,OLEDDisplayTask
2024-12-07 15:53:32,OLEDDisplayTask
2024-12-07 15:53:32,OLEDDisplayTask
2024-12-07 15:53:32,Mq2Task
2024-12-07 15:53:32,OLEDDisplayTask
2024-12-07 15:53:32,MQ-2 Gas Concentration: 3.30 PPM
2024-12-07 15:53:32,OLEDDisplayTask
2024-12-07 15:53:32,OLEDDisplayTask
2024-12-07 15:53:32,OLEDDisplayTask
2024-12-07 15:53:32,OLEDDisplayTask
2024-12-07 15:53:32,OLEDDisplayTask
2024-12-07 15:53:32,OLEDDisplayTask
2024-12-07 15:53:33,OLEDDisplayTask
2024-12-07 15:53:33,OLEDDisplayTask
2024-12-07 15:53:33,OLEDDisplayTask
2024-12-07 15:53:33,OLEDDisplayTask
2024-12-07 15:53:33,OLEDDisplayTask
2024-12-07 15:53:33,OLEDDisplayTask
2024-12-07 15:53:33,OLEDDisplayTask
2024-12-07 15:53:33,ReadDHT11Task
2024-12-07 15:53:33,OLEDDisplayTask
2024-12-07 15:53:34,OLEDDisplayTask
2024-12-07 15:53:34,OLEDDisplayTask
2024-12-07 15:53:34,OLEDDisplayTask
2024-12-07 15:53:34,Temperature: 39 °C	Humidity: 45 %
2024-12-07 15:53:34,Mq2Task
2024-12-07 15:53:34,OLEDDisplayTask
2024-12-07 15:53:34,MQ-2 Gas Concentration: 3.37 PPM
2024-12-07 15:53:34,OLEDDisplayTask
2024-12-07 15:53:34,OLEDDisplayTask
2024-12-07 15:53:34,OLEDDisplayTask
2024-12-07 15:53:34,OLEDDisplayTask
2024-12-07 15:53:34,OLEDDisplayTask
2024-12-07 15:53:35,OLEDDisplayTask
2024-12-07 15:53:35,OLEDDisplayTask
2024-12-07 15:53:35,OLEDDisplayTask
2024-12-07 15:53:35,OLEDDisplayTask
2024-12-07 15:53:35,OLEDDisplayTask
2024-12-07 15:53:35,OLEDDisplayTask
2024-12-07 15:53:35,OLEDDisplayTask
2024-12-07 15:53:35,OLEDDisplayTask
2024-12-07 15:53:35,OLEDDisplayTask
2024-12-07 15:53:36,OLEDDisplayTask
2024-12-07 15:53:36,OLEDDisplayTask
2024-12-07 15:53:36,OLEDDisplayTask
2024-12-07 15:53:36,ReadDHT11Task
2024-12-07 15:53:36,OLEDDisplayTask
2024-12-07 15:53:36,Mq2Task
2024-12-07 15:53:36,MQ-2 Gas Concentration: 3.19 PPM
2024-12-07 15:53:36,OLEDDisplayTask
2024-12-07 15:53:36,OLEDDisplayTask
2024-12-07 15:53:36,OLEDDisplayTask
2024-12-07 15:53:36,OLEDDisplayTask
2024-12-07 15:53:36,Temperature: 39 °C	Humidity: 45 %
2024-12-07 15:53:36,OLEDDisplayTask
2024-12-07 15:53:37,OLEDDisplayTask
2024-12-07 15:53:37,OLEDDisplayTask
2024-12-07 15:53:37,OLEDDisplayTask
2024-12-07 15:53:37,OLEDDisplayTask
2024-12-07 15:53:37,OLEDDisplayTask
2024-12-07 15:53:37,OLEDDisplayTask
2024-12-07 15:53:37,OLEDDisplayTask
2024-12-07 15:53:37,OLEDDisplayTask
2024-12-07 15:53:37,OLEDDisplayTask
2024-12-07 15:53:38,OLEDDisplayTask
2024-12-07 15:53:38,OLEDDisplayTask
2024-12-07 15:53:38,OLEDDisplayTask
2024-12-07 15:53:38,OLEDDisplayTask
2024-12-07 15:53:38,Mq2Task
2024-12-07 15:53:38,MQ-2 Gas Concentration: 3.16 PPM
2024-12-07 15:53:38,OLEDDisplayTask
2024-12-07 15:53:38,OLEDDisplayTask
2024-12-07 15:53:38,OLEDDisplayTask
2024-12-07 15:53:38,ReadDHT11Task
2024-12-07 15:53:38,OLEDDisplayTask
2024-12-07 15:53:38,OLEDDisplayTask
2024-12-07 15:53:39,OLEDDisplayTask
2024-12-07 15:53:39,OLEDDisplayTask
2024-12-07 15:53:39,OLEDDisplayTask
2024-12-07 15:53:39,Temperature: 39 °C	Humidity: 45 %
2024-12-07 15:53:39,OLEDDisplayTask
2024-12-07 15:53:39,OLEDDisplayTask
2024-12-07 15:53:39,OLEDDisplayTask
2024-12-07 15:53:39,OLEDDisplayTask
2024-12-07 15:53:39,OLEDDisplayTask
2024-12-07 15:53:39,OLEDDisplayTask
2024-12-07 15:53:40,OLEDDisplayTask
